index,name
299,logU_-2.14_Hden_4_Zism_1.229_CN_0.85
300,logU_-2.14_Hden_4_Zism_1.229_CN_1
301,logU_-2.14_Hden_4_Zism_1.382_CN_0.05
302,logU_-2.14_Hden_4_Zism_1.382_CN_0.15
303,logU_-2.14_Hden_4_Zism_1.382_CN_0.25
304,logU_-2.14_Hden_4_Zism_1.382_CN_0.45
305,logU_-2.14_Hden_4_Zism_1.382_CN_0.65
306,logU_-2.14_Hden_4_Zism_1.382_CN_0.85
307,logU_-2.14_Hden_4_Zism_1.382_CN_1
308,logU_-2.14_Hden_4_Zism_1.536_CN_0.05
309,logU_-2.14_Hden_4_Zism_1.536_CN_0.15
310,logU_-2.14_Hden_4_Zism_1.536_CN_0.25
311,logU_-2.14_Hden_4_Zism_1.536_CN_0.45
312,logU_-2.14_Hden_4_Zism_1.536_CN_0.65
313,logU_-2.14_Hden_4_Zism_1.536_CN_0.85
314,logU_-2.14_Hden_4_Zism_1.536_CN_1
